Area Name,Present Age,Total Women,Total Ever MarriedWomen,Persons
ahmadabad,20-24,341278,223702,211307
ahmadabad,25-29,328829,292850,449762
ahmadabad,15-19,309537,71424,41505
gandhinagar,20-24,66009,48331,42423
gandhinagar,25-29,60316,55818,89072
gandhinagar,15-19,62064,20157,6222
dohad,20-24,90991,72579,98957
dohad,25-29,79903,76134,183793
dohad,15-19,104307,24249,16370
banaskantha,20-24,138676,112120,111985
banaskantha,25-29,121793,117929,247802
banaskantha,15-19,152312,34964,11352
sabarkantha,20-24,104590,76153,77584
sabarkantha,25-29,93430,88175,164553
sabarkantha,15-19,109954,21926,9055
amreli,20-24,71459,37738,36757
amreli,25-29,55663,49449,91953
amreli,15-19,81242,8672,4627
surendranagar,20-24,77114,53506,61815
surendranagar,25-29,68938,64543,132431
surendranagar,15-19,86745,14418,6672
porbandar,20-24,24530,15874,14233
porbandar,25-29,23402,20747,35083
porbandar,15-19,26573,3692,1529
bharuch,20-24,66419,45401,47868
bharuch,25-29,61918,56603,99018
bharuch,15-19,68665,12192,6691
mahesana,20-24,95765,65515,56322
mahesana,25-29,82113,76399,123976
mahesana,15-19,92632,21612,7941
bhavnagar,20-24,132344,84341,92667
bhavnagar,25-29,111115,102632,210033
bhavnagar,15-19,153201,21275,11733
junagadh,20-24,123343,66280,60626
junagadh,25-29,108007,93728,161014
junagadh,15-19,137080,13391,6799
patan,20-24,60087,44636,41445
patan,25-29,52135,49216,90987
patan,15-19,63155,15002,5289
tapi,20-24,0,0,0
tapi,25-29,0,0,0
tapi,15-19,0,0,0
surat,20-24,286866,204929,195390
surat,25-29,288011,270314,435723
surat,15-19,235696,46555,22483
thedangs,20-24,10328,8204,11727
thedangs,25-29,8910,8301,19838
thedangs,15-19,10150,2630,1784
jamnagar,20-24,100855,61688,56556
jamnagar,25-29,90375,81090,137926
jamnagar,15-19,102470,12641,5590
vadodara,20-24,178774,125843,131377
vadodara,25-29,173520,158015,266436
vadodara,15-19,169658,38199,19175
gujarat,20-24,2734595,1890383,1909278
gujarat,25-29,2511538,2309571,4081456
gujarat,15-19,2719649,551513,262909
narmada,20-24,24718,18514,21987
narmada,25-29,21783,20102,41118
narmada,15-19,28217,6192,3633
panchmahals,20-24,100536,80289,94505
panchmahals,25-29,90202,86091,177397
panchmahals,15-19,110114,27926,14009
valsad,20-24,74496,53270,56529
valsad,25-29,71622,65589,113824
valsad,15-19,70881,16010,8675
kheda,20-24,98859,77650,80637
kheda,25-29,89250,83964,149874
kheda,15-19,99976,33786,13559
anand,20-24,92461,68831,69503
anand,25-29,83989,77967,135055
anand,15-19,88969,25403,10166
navsari,20-24,58638,37306,36525
navsari,25-29,54518,48224,76080
navsari,15-19,57278,10074,5543
kachchh,20-24,97281,70972,73389
kachchh,25-29,89391,84152,162342
kachchh,15-19,93563,14895,6282
rajkot,20-24,181489,111697,99409
rajkot,25-29,168925,151927,234438
rajkot,15-19,169925,26788,12232
